2023/08/11 01:37:43.227 [I] [npc.go:231]  the version of client is 0.26.10, the core version of client is 0.26.0
2023/08/11 01:37:43.314 [I] [control.go:97]  Loading configuration file C:\www\go\src\new-nps\conf\npc.conf successfully
2023/08/11 01:37:45.416 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:37:45.416 [I] [control.go:102]  Reconnecting...
2023/08/11 01:37:52.445 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:37:52.445 [I] [control.go:102]  Reconnecting...
2023/08/11 01:37:59.476 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:37:59.476 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:06.484 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:06.484 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:13.523 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:13.523 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:20.549 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:20.549 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:27.557 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:27.557 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:34.583 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:34.583 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:41.634 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:41.634 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:48.642 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:48.642 [I] [control.go:102]  Reconnecting...
2023/08/11 01:38:55.665 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:38:55.666 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:02.702 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:02.702 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:09.737 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:09.737 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:16.756 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:16.756 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:23.790 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:23.791 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:30.826 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:30.826 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:37.861 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:37.861 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:44.873 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:44.873 [I] [control.go:102]  Reconnecting...
2023/08/11 01:39:51.914 [E] [control.go:111]  dial tcp 127.0.0.1:8025: connectex: No connection could be made because the target machine actively refused it.
2023/08/11 01:39:51.914 [I] [control.go:102]  Reconnecting...
